,Name,Overview,Rank,Academics,Cost,Student,Admission,Deadline,Accept rate,Housing and dorm,Student Activities,After college,Link
20,University of Michigan--Ann Arbor,"University of Michigan—Ann Arbor is a public institution that was founded in 1817. It has a total undergraduate enrollment of 32,695 (fall 2022), its setting is city, and the campus size is 3,207 acres. It utilizes a trimester-based academic calendar. University of Michigan—Ann Arbor's ranking in the 2024 edition of Best Colleges is National Universities, #21. Its in-state tuition and fees are $17,786; out-of-state tuition and fees are $57,273.",['#21 in National Universities #3 in Top Public Schools #68 in Best Value Schools'],"['81% 4-Year Graduation Rate', '15:1 Student/Faculty Ratio', '56% Classes With Fewer Than 20 Students']","$17,086","32,695","SAT Range : 1350-1530 , ACT Range : 31-34 , High School GPA : 3.9",Feb. 1 Application Deadline,18% Acceptance Rate,"coed dorms
women's dorms
sorority housing
fraternity housing
apartments for married students
apartment for single students
special housing for disabled students
cooperative housing
theme housing
wellness housing
other housing options
",119+ Sports Teams,"$59,818",https://www.usnews.com/best-colleges/university-of-michigan-ann-arbor-9092
21,Georgetown University,"Georgetown University is a private institution that was founded in 1789. It has a total undergraduate enrollment of 7,900 (fall 2022), its setting is urban, and the campus size is 104 acres. It utilizes a semester-based academic calendar. Georgetown University's ranking in the 2024 edition of Best Colleges is National Universities, #22. Its tuition and fees are $65,082.",['#22 in National Universities (tie) #50 in Best Value Schools in Business Programs'],"['91% 4-Year Graduation Rate', '11:1 Student/Faculty Ratio', '61% Classes With Fewer Than 20 Students']","$24,570","7,900","SAT Range : 1390-1560 , ACT Range : 32-35 , High School GPA : N/A",Jan. 10 Application Deadline,12% Acceptance Rate,"coed dorms
apartment for single students
theme housing
",86+ Sports Teams,"$69,193",https://www.usnews.com/best-colleges/georgetown-university-1445
22,University of North Carolina at Chapel Hill,"University of North Carolina at Chapel Hill is a public institution that was founded in 1789. It has a total undergraduate enrollment of 20,210 (fall 2022), and the campus size is 729 acres. It utilizes a semester-based academic calendar. University of North Carolina at Chapel Hill's ranking in the 2024 edition of Best Colleges is National Universities, #22. Its in-state tuition and fees are $8,998; out-of-state tuition and fees are $39,338.",['#22 in National Universities (tie) #4 in Top Public Schools #14 in Best Value Schools'],"['85% 4-Year Graduation Rate', '15:1 Student/Faculty Ratio', '44% Classes With Fewer Than 20 Students']","$13,263","20,210","SAT Range : 1350-1530 , ACT Range : 30-34 , High School GPA : N/A",Jan. 15 Application Deadline,17% Acceptance Rate,"coed dorms
women's dorms
men's dorms
sorority housing
fraternity housing
apartments for married students
apartment for single students
special housing for disabled students
special housing for international students
theme housing
wellness housing
other housing options
",130+ Sports Teams,"$46,617",https://www.usnews.com/best-colleges/unc-2974
23,Carnegie Mellon University,"Carnegie Mellon University is a private institution that was founded in 1900. It has a total undergraduate enrollment of 7,509 (fall 2022), and the campus size is 157 acres. It utilizes a semester-based academic calendar. Carnegie Mellon University's ranking in the 2024 edition of Best Colleges is National Universities, #24. Its tuition and fees are $63,829.",['#24 in National Universities (tie) #24 in Best Value Schools #7 in Business Programs'],"['76% 4-Year Graduation Rate', '6:1 Student/Faculty Ratio', '70% Classes With Fewer Than 20 Students']","$37,846","7,509","SAT Range : 1490-1570 , ACT Range : 34-35 , High School GPA : 3.9",Jan. 1 Application Deadline,11% Acceptance Rate,"coed dorms
women's dorms
men's dorms
sorority housing
fraternity housing
apartment for single students
special housing for disabled students
theme housing
wellness housing
",76+ Sports Teams,"$86,423",https://www.usnews.com/best-colleges/carnegie-mellon-university-3242
24,Emory University,"Emory University is a private institution that was founded in 1836. It has a total undergraduate enrollment of 7,101 (fall 2022), and the campus size is 631 acres. It utilizes a semester-based academic calendar. Emory University's ranking in the 2024 edition of Best Colleges is National Universities, #24. Its tuition and fees are $60,774.",['#24 in National Universities (tie) #21 in Best Value Schools in Business Programs'],"['83% 4-Year Graduation Rate', '9:1 Student/Faculty Ratio', '58% Classes With Fewer Than 20 Students']","$25,424","7,101","SAT Range : 1430-1550 , ACT Range : 32-34 , High School GPA : 3.8",Jan. 1 Application Deadline,11% Acceptance Rate,"coed dorms
sorority housing
fraternity housing
apartment for single students
theme housing
",72+ Sports Teams,"$57,366",https://www.usnews.com/best-colleges/emory-university-1564
25,University of Virginia,"University of Virginia is a public institution that was founded in 1819. It has a total undergraduate enrollment of 17,496 (fall 2022), and the campus size is 1,682 acres. It utilizes a semester-based academic calendar. University of Virginia's ranking in the 2024 edition of Best Colleges is National Universities, #24. Its in-state tuition and fees are $22,323; out-of-state tuition and fees are $58,950.",['#24 in National Universities (tie) #5 in Top Public Schools #26 in Best Value Schools'],"['91% 4-Year Graduation Rate', '15:1 Student/Faculty Ratio', '49% Classes With Fewer Than 20 Students']","$20,507","17,496","SAT Range : 1400-1540 , ACT Range : 32-34 , High School GPA : N/A",Jan. 5 Application Deadline,19% Acceptance Rate,"coed dorms
sorority housing
fraternity housing
apartments for married students
apartment for single students
special housing for international students
other housing options
",50+ Sports Teams,"$58,760",https://www.usnews.com/best-colleges/uva-6968
26,Washington University in St. Louis,"Washington University in St. Louis is a private institution that was founded in 1853. It has a total undergraduate enrollment of 8,132 (fall 2022), its setting is city, and the campus size is 169 acres. It utilizes a semester-based academic calendar. Washington University in St. Louis' ranking in the 2024 edition of Best Colleges is National Universities, #24. Its tuition and fees are $62,982.",['#24 in National Universities (tie) #18 in Best Value Schools in Business Programs'],"['88% 4-Year Graduation Rate', '7:1 Student/Faculty Ratio', '66% Classes With Fewer Than 20 Students']","$27,595","8,132","SAT Range : 1500-1570 , ACT Range : 33-35 , High School GPA : N/A",Jan. 3 Application Deadline,11% Acceptance Rate,"coed dorms
fraternity housing
apartments for married students
apartment for single students
special housing for disabled students
special housing for international students
theme housing
other housing options
",103+ Sports Teams,"$56,841",https://www.usnews.com/best-colleges/washington-university-in-st-louis-2520
27,"University of California, Davis","University of California, Davis is a public institution that was founded in 1905. It has a total undergraduate enrollment of 31,532 (fall 2022), and the campus size is 5,300 acres. It utilizes a quarter-based academic calendar. University of California, Davis' ranking in the 2024 edition of Best Colleges is National Universities, #28. Its in-state tuition and fees are $15,266; out-of-state tuition and fees are $46,043.",['#28 in National Universities (tie) #6 in Top Public Schools (tie) #205 in Best Value Schools'],"['66% 4-Year Graduation Rate', '21:1 Student/Faculty Ratio', 'N/A Classes With Fewer Than 20 Students']","$14,920","31,532","SAT Range : N/A , ACT Range : N/A , High School GPA : N/A",Nov. 30 Application Deadline,37% Acceptance Rate,"coed dorms
women's dorms
apartments for married students
apartment for single students
special housing for disabled students
cooperative housing
theme housing
wellness housing
other housing options
",51+ Sports Teams,"$39,866",https://www.usnews.com/best-colleges/university-of-california-davis-1313
28,"University of California, San Diego","University of California, San Diego is a public institution that was founded in 1960. It has a total undergraduate enrollment of 33,096 (fall 2022), its setting is urban, and the campus size is 1,976 acres. It utilizes a quarter-based academic calendar. University of California, San Diego's ranking in the 2024 edition of Best Colleges is National Universities, #28. Its in-state tuition and fees are $16,056; out-of-state tuition and fees are $48,630.",['#28 in National Universities (tie) #6 in Top Public Schools (tie) #182 in Best Value Schools'],"['72% 4-Year Graduation Rate', '19:1 Student/Faculty Ratio', '45% Classes With Fewer Than 20 Students']","$14,895","33,096","SAT Range : N/A , ACT Range : N/A , High School GPA : 3.9",Nov. 30 Application Deadline,24% Acceptance Rate,"coed dorms
women's dorms
men's dorms
sorority housing
fraternity housing
apartments for married students
apartment for single students
special housing for disabled students
special housing for international students
cooperative housing
theme housing
wellness housing
other housing options
",93+ Sports Teams,"$44,276",https://www.usnews.com/best-colleges/university-of-california-san-diego-1317
29,University of Florida,"University of Florida is a public institution that was founded in 1853. It has a total undergraduate enrollment of 34,552 (fall 2022), its setting is city, and the campus size is 2,000 acres. It utilizes a semester-based academic calendar. University of Florida's ranking in the 2024 edition of Best Colleges is National Universities, #28. Its in-state tuition and fees are $6,381; out-of-state tuition and fees are $28,658.",['#28 in National Universities (tie) #6 in Top Public Schools (tie) #83 in Best Value Schools'],"['72% 4-Year Graduation Rate', '16:1 Student/Faculty Ratio', '53% Classes With Fewer Than 20 Students']","$3,679","34,552","SAT Range : 1300-1490 , ACT Range : 28-33 , High School GPA : 3.9",March 1 Application Deadline,23% Acceptance Rate,"coed dorms
sorority housing
fraternity housing
apartments for married students
apartment for single students
special housing for disabled students
special housing for international students
theme housing
wellness housing
other housing options
",121+ Sports Teams,"$45,803",https://www.usnews.com/best-colleges/university-of-florida-1535
